pid,title,label,category,collection,layout,order,permalink
inn,Tag: Inn,Inn,Architecture,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/inn/
insects,Tag: Insects,Insects,Animals,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/insects/
jewels,Tag: Jewels,Jewels,Things,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/jewels/
john-the-baptist,Tag: John the Baptist,John the Baptist,Religious,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/john-the-baptist/
john-the-evangelist,Tag: John the Evangelist,John the Evangelist,Religious,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/john-the-evangelist/
jongelinck,Tag: Jongelinck,Jongelinck,Collectors,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/jongelinck/
knight,Tag: Knight,Knight,Persons/figures,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/knight/
ladders,Tag: Ladders,Ladders,Things,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/ladders/
lake,Tag: Lake,Lake,Landscape features,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/lake/
landing-stage,Tag: Landing stage,Landing stage,Landscape features,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/landing-stage/
landscape,Tag: Landscape,Landscape,Secondary genres,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/landscape/
lantern,Tag: Lantern,Lantern,Things,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/lantern/
lust,Tag: Lust,Lust,Allegory/Proverbs and Allegory,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/lust/
market,Tag: Market,Market,Activities,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/market/
mary-magdalenee,Tag: Mary Magdalenee,Mary Magdalenee,Religious,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/mary-magdalenee/
merchants,Tag: Merchants,Merchants,Persons/figures,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/merchants/
mirrors,Tag: Mirrors,Mirrors,Things,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/mirrors/
moneybox,Tag: Moneybox,Moneybox,Things,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/moneybox/
monkey,Tag: Monkey,Monkey,Animals,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/monkey/
moralizing,Tag: Moralizing,Moralizing,Allegory/Proverbs and Allegory,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/moralizing/
